n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,omega_fwd,rho_fwd,kappa_fwd,omega_bwd,rho_bwd,kappa_bwd
8,1152,192,4117555999.0,4078632960,0.9543158058527531,7703080603.0,7647436800,0.7276137672690541,0.0030381944444444198,0.0,14.996979324905961,0.006973379629629628,0.10483066888503087,0.6000000000000001
8,1152,208,4801456375.0,4418519040,8.666644446551938,8639642686.0,8284723200,4.284023466227574,0.08019497863247871,0.0,14.996923723791399,0.04255252849002855,0.10571525551994301,0.6000000000000001
8,1152,224,4803815398.0,4758405120,0.9543171893695339,8979851264.0,8922009600,0.6483030908193599,0.0030381944444444198,0.0,14.997011214967758,0.006179728835978837,0.1052910052910053,0.6000000000000001
8,1152,240,5487715891.0,5098291200,7.638337547294277,9916408770.0,9559296000,3.735764328251787,0.06990740740740731,0.0,14.997013798466435,0.037067901234567824,0.10492332175925925,0.6000000000000001
8,1152,256,5490074754.0,5438177280,0.9543174363010101,10256617348.0,10196582400,0.5887751958930867,0.0030381944444444198,0.0,14.997016906738281,0.005584490740740744,0.10460159866898149,0.6000000000000001
8,1280,16,900791723.0,419594240,114.68162265525856,1205334496.0,786739200,53.20636063386698,1.13828125,8.0,14.996356201171874,0.5292708333333334,7.0815625,0.6000000000000001
8,1280,32,904722679.0,839188480,7.809234821717285,1627427296.0,1573478400,3.428639122087726,0.06914062499999996,8.0,14.994503784179688,0.031302083333333286,7.074114583333333,0.6000000000000001
8,1280,48,1785198448.0,1258782720,41.81942758159248,2748400096.0,2360217600,16.446894388042864,0.41093749999999996,4.0,14.995540364583333,0.16281250000000003,3.804965277777778,0.6000000000000001
8,1280,64,1788474046.0,1678376960,6.559735305232025,3169489376.0,3146956800,0.7160116084211896,0.05820312499999991,4.0,14.994821166992187,0.005442708333333268,3.8037239583333333,0.6000000000000001
8,1280,80,2545905830.0,2097971200,21.350847428220177,5062599136.0,3933696000,28.698281107640245,0.20656249999999998,3.0,14.99520263671875,0.28537499999999993,3.802979166666667,0.6000000000000001
8,1280,96,2549017767.0,2517565440,1.249315171723997,5483688416.0,4720435200,16.16912813462623,0.005468749999999911,3.0,14.994961547851563,0.16003472222222226,3.802482638888889,0.6000000000000001
8,1280,112,3395578967.0,2937159680,15.607571155273384,5904858546.0,5507174400,7.221201238878508,0.14910714285714288,3.0,14.995611572265625,0.07050595238095236,3.839725632440476,0.6000000000000001
8,1280,128,3398690902.0,3356753920,1.249331437438226,6325956980.0,6293913600,0.5091169348114344,0.005468749999999911,3.0,14.995378112792968,0.0033593750000000533,3.838484700520833,0.6000000000000001
8,1280,144,5070513591.0,3776348160,34.27028907737151,8208758551.0,7080652800,15.93222804258952,0.3369791666666666,0.0,14.995436604817709,0.15910879629629626,0.10584165219907407,0.6000000000000001
8,1280,160,5073133161.0,4195942400,20.905691198239516,8628710105.0,7867392000,9.676880280021638,0.20328125000000008,0.0,14.994751586914063,0.09653124999999996,0.10490397135416667,0.6000000000000001
8,1280,176,5075755669.0,4615536640,9.971083860792405,9048666236.0,8654131200,4.558921362319998,0.09389204545454555,0.0,14.995821311257103,0.045331439393939466,0.10549124053030302,0.6000000000000001
8,1280,192,5078376156.0,5035130880,0.8588709416030115,9468617790.0,9440870400,0.29390711686922427,0.0027343749999999556,0.0,14.995684814453124,0.0026649305555555003,0.10473904079861111,0.6000000000000001
8,1280,208,5922151389.0,5454725120,8.569199340332661,10624584161.0,10227609600,3.8814011927088026,0.07986778846153841,0.0,14.99565664438101,0.0385536858974358,0.10524864783653846,0.6000000000000001
8,1280,224,5924771254.0,5874319360,0.8588551440281246,11083857315.0,11014348800,0.6310723971261923,0.0027343749999999556,0.0,14.995280238560268,0.006037946428571361,0.10462123325892857,0.6000000000000001
8,1280,240,6768547273.0,6293913600,7.541153297687467,12239823686.0,11801088000,3.717756244170029,0.06958333333333333,0.0,14.995602620442709,0.03691666666666671,0.10507074652777777,0.6000000000000001
8,1280,256,6771168138.0,6713507840,0.8588698989290224,12659775240.0,12587827200,0.5715683799663218,0.0027343749999999556,0.0,14.995658111572265,0.005442708333333268,0.10453287760416667,0.6000000000000001
8,1408,16,1126578965.0,507691008,121.90248541884752,1417916896.0,951920640,48.9532673648089,1.211647727272727,7.0,14.993014248934658,0.48731060606060606,6.146875,0.6000000000000001
8,1408,32,1130722930.0,1015382016,11.359361519359428,1928040928.0,1903841280,1.2710958762276654,0.10582386363636354,7.0,14.993214000355113,0.010321969696969635,6.140104166666666,0.6000000000000001
8,1408,48,2102128966.0,1523073024,38.01892180318729,3353747936.0,2855761920,17.4379388040863,0.3735795454545454,4.0,14.993027195785984,0.1730429292929292,3.3378472222222224,0.6000000000000001
8,1408,64,2105732144.0,2030764032,3.6916210263074034,3862925792.0,3807682560,1.450836069695894,0.03018465909090917,4.0,14.992964311079545,0.013115530303030365,3.33671875,0.6000000000000001
8,1408,80,3077318193.0,2538455040,21.22799673458073,6182453728.0,4759603200,29.894309844988758,0.20596590909090917,3.0,14.992668013139205,0.2976515151515151,3.3360416666666666,0.6000000000000001
8,1408,96,3080740923.0,3046146048,1.1356932482838065,6691707857.0,5711523840,17.161514938192045,0.004971590909090828,3.0,14.99247880415483,0.17026515151515142,3.3732091422032826,0.6000000000000001
