n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,epsilon_gemm,rho,kappa_fwd,epsilon_gemm_bwd,rho_bwd,kappa_bwd
8,256,256,294125568.0,268959744,9.35672514619883,537399776.0,504299520,6.563610451185835,0.0546875,5.0,15.0,0.0546875,5.071321614583334,0.6000000000000001
8,512,16,143196155.0,67174400,113.17072426400534,541528544.0,125952000,329.9483485772358,1.109375,9.0,14.999923706054688,3.1479166666666663,157.90390625,0.6000000000000001
8,512,32,144834560.0,134348800,7.804878048780488,387060192.0,251904000,53.653849085365856,0.0546875,9.0,15.0,0.5322916666666666,4.285286458333333,0.6000000000000001
8,512,64,289669115.0,268697600,7.804876187952553,522719712.0,503808000,3.7537538109756095,0.0546875,9.0,14.999980926513672,0.03281249999999991,4.2759765625,0.6000000000000001
8,512,128,562561011.0,537395200,4.682924410191978,1030754784.0,1007616000,2.296389100609756,0.02734375,5.0,14.999975204467773,0.01822916666666674,4.271321614583333,0.6000000000000001
8,512,256,1108344789.0,1074790400,3.121947218732136,2037721584.0,2015232000,1.1159798971036585,0.013671875,3.0,14.999958992004395,0.010481770833333348,0.10546061197916666,0.6000000000000001
8,1024,16,554827611.0,268566528,106.5885183577307,752620000.0,503562240,49.459181053766066,1.0546875,9.0,14.998741149902344,0.4906250000000001,8.018619791666667,0.6000000000000001
8,1024,32,558104080.0,537133056,3.9042512401247556,1023414752.0,1007124480,1.6175033298763624,0.02734375,9.0,14.99810791015625,0.011979166666666652,8.009309895833333,0.6000000000000001
8,1024,64,1099430752.0,1074266112,2.3424959345641168,2031096288.0,2014248960,0.8364074319790141,0.013671875,5.0,14.99774169921875,0.005989583333333437,4.271321614583333,0.6000000000000001
8,1024,128,2182084762.0,2148532224,1.5616492796898354,4053871088.0,4028497920,0.6298419039521311,0.0068359375,3.0,14.998193740844727,0.00390625,4.305460611979167,0.6000000000000001
8,1024,256,4343198009.0,4297064448,1.073606448268937,8081000448.0,8056995840,0.2979349682772084,0.00341796875,0.0,14.998196125030518,0.0026367187500000444,0.1046875,0.6000000000000001
16,128,16,300449792.0,8421376,3467.7042801556418,583537120.0,16316416,3476.3804992468936,34.5,65.0,15.0,34.5,101.74949596774194,0.5483870967741935
16,128,32,303104000.0,16842752,1699.6108949416343,585634272.0,32632832,1694.6167589745198,16.75,65.0,15.0,16.75,66.61668346774194,0.5483870967741935
16,128,64,304218112.0,33685504,803.1128404669261,683217376.0,65265664,946.8251361083219,7.875,33.0,15.0,9.351184475806452,38.88898689516129,0.5483870967741935
16,128,128,73138176.0,67371008,8.560311284046692,134386144.0,130531328,2.953173049767792,0.02734375,0.0,15.0,0.02734375,0.04126764112903226,0.5483870967741935
16,128,256,146276352.0,134742016,8.560311284046692,273748448.0,261062656,4.859290177450734,0.02734375,0.0,15.0,0.041456653225806495,1.327085433467742,0.5483870967741935
16,256,16,301006848.0,33619968,795.3216374269006,760173024.0,65138688,1067.0069621297869,7.875,33.0,15.0,10.558971774193548,67.00378024193549,0.5483870967741935
16,256,32,73531392.0,67239936,9.35672514619883,370414048.0,130277376,184.32722501257624,0.0546875,5.0,15.0,1.800655241935484,23.114793346774192,0.5483870967741935
16,256,64,147062784.0,134479872,9.35672514619883,270406112.0,260554752,3.780917417311199,0.0546875,5.0,15.0,0.03200604838709675,2.4606224798387095,0.5483870967741935
16,256,128,294125568.0,268959744,9.35672514619883,533467616.0,521109504,2.3715000216154185,0.0546875,5.0,15.0,0.017893145161290258,2.456117691532258,0.5483870967741935
16,256,256,588251136.0,537919488,9.35672514619883,1110446560.0,1042219008,6.546373792484123,0.0546875,5.0,15.0,0.0546875,5.034510458669355,0.5483870967741935
16,512,16,286392315.0,134348800,113.17072798566122,1116934624.0,260300800,329.09381146734853,1.109375,9.0,14.999961853027344,3.144153225806452,153.05027721774192,0.5483870967741935
16,512,32,289669115.0,268697600,7.804876187952553,808063456.0,520601600,55.217244049960655,0.0546875,9.0,14.999980926513672,0.547883064516129,4.396106350806452,0.5483870967741935
16,512,64,579338242.0,537395200,7.804878420946075,1079513568.0,1041203200,3.6794324105035408,0.0546875,9.0,15.000003814697266,0.03200604838709675,4.3916015625,0.5483870967741935
16,512,128,1125122052.0,1074790400,4.68292720143388,2129662432.0,2082406400,2.269299210759245,0.02734375,5.0,15.000003814697266,0.017893145161290258,4.389349168346774,0.5483870967741935
16,512,256,2216689638.0,2149580800,3.1219500099740376,4210371056.0,4164812800,1.0938848439958693,0.013671875,3.0,14.999987602233887,0.010364163306451513,0.05102932837701613,0.5483870967741935
16,1024,16,1109655253.0,537133056,106.58852412911261,1573130720.0,1040695296,51.16150962212094,1.0546875,9.0,14.998859405517578,0.5075604838709677,8.267074092741936,0.5483870967741935
16,1024,32,1116208631.0,1074266112,3.904295084009873,2114982368.0,2081390592,1.6139102448676774,0.02734375,9.0,14.999006271362305,0.011844758064516236,8.262569304435484,0.5483870967741935
16,1024,64,2198862972.0,2148532224,2.342564260278928,4197454304.0,4162781184,0.8329316019124199,0.013671875,5.0,14.999141693115234,0.005922379032258007,4.389349168346774,0.5483870967741935
16,1024,128,4364171176.0,4297064448,1.5616877245402674,8378198512.0,8325562368,0.6322232862288253,0.0068359375,3.0,14.998981475830078,0.00390625,4.405868038054435,0.5483870967741935
16,1024,256,8686398872.0,8594128896,1.0736396569865923,16700295168.0,16651124736,0.29529796202711,0.00341796875,0.0,14.998876571655273,0.0026619203629032473,0.05065524193548387,0.5483870967741935
32,128,16,600899584.0,16842752,3467.7042801556418,1185812960.0,33159168,3476.1239847754923,34.5,65.0,15.0,34.5,101.11483134920636,0.5238095238095237
32,128,32,606208000.0,33685504,1699.6108949416343,1190138336.0,66318336,1694.5841343184486,16.75,65.0,15.0,16.75,66.55741567460318,0.5238095238095237
32,128,64,608436224.0,67371008,803.1128404669261,1391792608.0,132636672,949.3271483771849,7.875,33.0,15.0,9.376178075396826,38.94537450396825,0.5238095238095237
32,128,128,146276352.0,134742016,8.560311284046692,273060320.0,265273344,2.935453627787042,0.02734375,0.0,15.0,0.02734375,0.020306299603174604,0.5238095238095237
32,128,256,292552704.0,269484032,8.560311284046692,556077536.0,530546688,4.812177434608733,0.02734375,0.0,15.0,0.04123263888888884,1.2879309275793651,0.5238095238095237
32,256,16,602013696.0,67239936,795.3216374269006,1550799328.0,132378624,1071.4877229725548,7.875,33.0,15.0,10.604414682539682,66.74789186507937,0.5238095238095237
32,256,32,147062784.0,134479872,9.35672514619883,745279968.0,264757248,181.49558647776848,0.0546875,5.0,15.0,1.7729414682539684,22.80251736111111,0.5238095238095237
32,256,64,294125568.0,268959744,9.35672514619883,549327328.0,529514496,3.7416977532565983,0.0546875,5.0,15.0,0.031622023809523725,2.480623759920635,0.5238095238095237
32,256,128,588251136.0,537919488,9.35672514619883,1083970016.0,1059028992,2.355084156185216,0.0546875,5.0,15.0,0.017733134920634885,2.4784071180555554,0.5238095238095237
